complaint_type,complaint_id,status,date,description,text,url
Problems with Product/Service,1504025924,Unanswered,03/21/2023,Initial Complaint,"I moved out of this building (now Indigo Riverview) on August 31st, 2022. About a month after moving, I received a collections letter for almost $800. When I called to inquire with Indigo about the charges, they could not explain them and said they would call me back. I never received a call back, and have attempted to make contact several times and no one will answer my calls. I have now received notice that this debt will be reported to my credit, but I am uncomfortable paying so much money for unexplained charges. I would like for the management to call and explain these charges, or for the debt to be cleared and any damage to my credit be rectified.",https://www.bbb.org/us/tn/memphis/profile/apartments/indigo-riverview-0543-44182146
Problems with Product/Service,1590525145,Answered,04/04/2023,Initial Complaint,"This business removes autopay from resident portals on their last month of the lease and then charges then $150 late fee's. The property manager said it was policy and that it wasn't her problem. I paid the fee, but this is fraud.",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525145,Answered,04/05/2023,Business response,"The resident payment portal is set up and controlled by the resident.  The start date of auto pays, stop date of auto pays, the form of payment and maximum amount that can be paid are ALL controlled by the resident.  In May of 2022 the maximum amount that could be paid thru this account was $2000.00.  The resident had a balance on May 1, 2022 of $2017.00, so the payment wouldn't process due to the max ************ A late fee was charged and waived for this resident at that time.  On May 5, 2022, the resident increased their maximum payment amount to $3000.00 and entered a start date of May 5, 2022, and a stop date of March 31, 2023.  There are two lease holders and it is possible ********************** wasn't aware that this change had been made, but the property did not stop his automatic payment.  It stopped on the date set up in the system.  Our policy is to waive a 1st time late fee as a courtesy.  This courtesy was extended in May of last year.  We are sorry that this happened, but this was the sole responsibility of the resident.
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525145,Answered,04/05/2023,Customer response," 
Complaint: 19895253

I am rejecting this response because: The rent is actually due on the 1st of every month but your system has a delay in collection automatic bill pays. I called your office on May 3rd 2022 and spoke with ******* and asked if I needed to make a manual payment or if I should allow for the automatic bill pay to push through. She informed me to wait because she didn't want me to be billed twice and said nothing about the $2,000 limit at the time. Then the 4th came and I had a late fee. I called the office again, and spoke with ******* she had me come down to the office so that we could figure out what happened. She discovered it's because there was a limit set at $2,000 - our monthly rent is $1865 mind you. She said she would fix it since she was the one that told us not to pay it the day prior. 
Then again on our LAST month of living their your team sends out an email saying that your system is being updated or changed and to bring a check to the office. Then later send out another message that everything is fine and autopay's should work as normal. All of a sudden surprise surprise our autopay is removed from the system and we're charged a late fee on the 4th of April. I asked for a courtesy removal removal because of the issues with YOUR systems. No one sets up autopay to pay 12/13 months and ignore the last month of living there. Then because management has changed and ******* didn't place any notes in your system it looks like I didn't pay my bill on time. The new manager *** and the lady at the front desk ***** basically tell me to kick rocks because it's not their problem. Your team needs to reevaluate your payment systems, place better notes on tenant accounts, and take a look at the customer service provided on site.

Sincerely,

*******************************
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525145,Answered,04/17/2023,Business response,"The resident keeps referencing the amount of his rent was $1865.  The resident portal pulls the balance on the account, not just rent.  The rent was $1865 plus $20 in pet rent, $65 internet, plus water and trash.  His limit was $2000, but his total balance was $2017.39.  The lease holder increased the limit amount to $3000 and set a date for the ach to expire on March 31, 2023.  It is unfortunate that he is not accepting of this answer, but this was not a system error.  ",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525144,Answered,03/14/2023,Initial Complaint,"The **************************************, apartment ***********************. Lease began in Nov 2020, ended Jan 23, 2023. My daughter turned 18 Nov of 2022. I am being charged, which is a separate issue and I have an attorney, however, your apartment complex has sent me 2 notices and have listed minor child as being responsible. She NEVER signed a thing and I want her off of what they are trying to charge me for. I should not be getting notices since they have received something from my attorney, however, since I have-you better believe I am not happy about my daughter having her name as being in collections. I asked them to start with to take her off. The managers now were rude, and ridiculous charges. I am a teacher, I work hard, and I not dealing with this nonsense. It's enough to have my credit ruined, but not hers.",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525144,Answered,04/12/2023,Business response,"The collection was filed in the names of ********************************* and ********************************  This was done electronically thru the property Yardi software listing all names as listed on the lease agreement.  We have confirmed with *************** Systems that the name of ******************************* has been removed.
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525144,Answered,04/12/2023,Customer response," 
Complaint: 19597118

I am rejecting this response because:
The reply states that the thing was filed because the 2 names listed on the lease agreement were ********************************* and *******************************.  
*******************************(correct spelling) yes, signed lease.  ******************************* was listed as my child because they said I had to list my children who were going to live there.   You DO NOT ADD THEM TO A CREDIT COLLECTION.  EVER.
The response is absolutely reprehensible.   
She was removed from being sought for collections.  At least that part was taken care of, but covering up ignorance with that written response is just wrong.  You can do better.  Your company should do better. With a lot of things. But I can not financially fight my collection bill, which was all a bunch of horrible lies.  
Sincerely,

*******************************",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525143,Answered,02/24/2023,Initial Complaint,"My issue is that the PrtyMngr *** is very rude, she does not respect anyone or our concerns!! We are not Residents! Im her eyes but TransactionNumbers! she has a nasty attitude and demeanor. mold was covered up I have proof but recently I informed the employees of the sewer and it how it was backed up! I was on them every day about this issue. So from December 14 to 17 my toilet was stopped up. They sent maintenance out to fix it but it only last a couple of days. From there The12/ 17 till 1/7/23 I had No working Toilets in either of of my Restrooms they did not update , check on me or anything! Then the winter cold front came in where the water had to be shut off which I totally understand is out their control! But now I had No toilets, water or heat because the water is what makes the heat work, From then on no communication at all. Finally Jan 7 I get my toilets water and heat back. I with held my rent because they never communicated about the issues but they made sure they let everyone know how to pay the rent! Since the office was hit too with pipes bursting. Then instead of issuing a credit from 12/17till 1/7they only issue 400 from 12/24 to 12/31! I have proof!!!Boom then my ceiling fell in from the pipe bursting in the apartment above me my ceiling just got fixed two weeks ago! Then the hot water heat tank busted above me and flooded my entire apartment! During non of time no one reached out with concern no credit again for not being able to be in my unit. And now because Im they a** about my apartment they want to evict me because my son and some friends from around the complex was in a abandoned unit smoking! But they let the other kids stay but I have to leave or agree to put son on bar list, schetky right. Now before that happen they put in my transfer to move to theee bedroom but instead of keeping my rent rate they making me pay the higher rent! Not fair I know ! Now my son was wrong but nothing was damaged or missing! Part 2 coming Im out of chara",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525143,Answered,03/07/2023,Business response,"All repairs were made pertaining to the leak in the unit.  The carpet was also replaced.  All residents and occupants must be listed on the lease.  A criminal background check is done on anyone 18 or older. On February 18, 2023, ****************** son was discovered by our courtesy officer, who is also a ******* Police Officer, in a vacant unit with a minor smoking marijuana.  He is over the age of 18 and was an unauthorized occupant.  He was instructed to not return to the property by the courtesy officer.  There was smoke damage to the vacant unit that had to be repaired.  ************** was in violation of her lease due to the unauthorized occupant but allowed to continue her residency in her current unit.  
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
