title,candidate,statement
"City of Memphis made party to residency lawsuit, JW Gibson seeks to join",Floyd Bonner,The five-year residency requirement for mayoral candidates should not apply to me;
"City of Memphis made party to residency lawsuit, JW Gibson seeks to join",Van Turner,The five-year residency requirement for mayoral candidates should not apply to me;
"City of Memphis made party to residency lawsuit, JW Gibson seeks to join",J.W. Gibson,The Meyers opinion should be enforced;
"City of Memphis made party to residency lawsuit, JW Gibson seeks to join",Michelle McKissack,Campaign is considering whether to file a motion to intervene in the suit and is glad the city is acknowledging the five-year residency requirement as law.
City of Memphis won't be made party to residency suits against Election Commission,Floyd Bonner,None
City of Memphis won't be made party to residency suits against Election Commission,Joe Brown,None
City of Memphis won't be made party to residency suits against Election Commission,Van Turner,"Not to be flippant, who cares?"" said attorney Robert Spence, who represents Turner. ""The city doesn’t conduct elections. … whether or not they like your opinion, whether or not they agree with your opinion or claims it's bound by your opinion, they don’t conduct elections.”"
Questions remain following release of footage showing jailed man being beat by corrections officers,Floyd Bonner,"According to the Medical Examiner, Mr. Gershun Freeman suffered from psychosis and cardiovascular disease and died of a heart attack while being restrained ... It is unfortunate that parts of the video are being shown out of context because the full video does show the erratic and violent behavior that led to the need to restrain Mr. Freeman. These corrections officers deserve a fair review of this case, and I will wait for additional information from the TBI and the investigating DA before taking further administrative action."
Surveillance footage from jail shows officers kneeling on inmate's back for almost 6 minutes,Floyd Bonner,"According to the Medical Examiner, Mr. Gershun Freeman suffered from psychosis and cardiovascular disease and died of a heart attack while being restrained."
Surveillance footage from jail shows officers kneeling on inmate's back for almost 6 minutes,Floyd Bonner,"It is unfortunate that parts of the video are being shown out of context because the full video does show the erratic and violent behavior that led to the need to restrain Mr. Freeman. These corrections officers deserve a fair review of this case, and I will wait for additional information from the TBI and the investigating DA before taking further administrative action."
"Memphis police officer Geoffrey Redd dies two weeks after he was shot in library, MPD says",Floyd Bonner,"On behalf of all the men and women of the Shelby County Sheriff's Office, I offer my prayers and deepest condolences to his family, friends and the Memphis Police Department. He died protecting the citizens of Memphis and Shelby County and we are truly heartbroken."
"Memphis police officer Geoffrey Redd dies two weeks after he was shot in library, MPD says",Van Turner,"Tammie and I extend our sincere condolences to Officer Redd and his family. We will continue to lift up his family, friends and colleagues in prayer!"
"Memphis police officer Geoffrey Redd dies two weeks after he was shot in library, MPD says",Frank Colvett,Officer Redd’s bravery and service to Memphis was the model of what expect in our officers. Lesley and I’s thoughts and prayers are with the family of Officer Redd.
"Memphis police officer Geoffrey Redd dies two weeks after he was shot in library, MPD says",JB Smiley,"MPD Officer Geoffrey Redd, who was shot in the line of duty on February 2nd, has succumbed to his injuries...Please keep his friends and family in thoughts and prayers."
"Memphis police officer Geoffrey Redd dies two weeks after he was shot in library, MPD says",Chase Carlisle,Elizabeth and I will be praying for Officer Redd’s family and our community at large. So much healing is needed. Memphis must come together to end senseless acts of violence.
2 deputies at scene of Tyre Nichols's beating suspended without pay,Floyd Bonner,"Having watched the videotape for the first time tonight, I have concerns about two deputies who appeared on the scene following the physical confrontation between police and Tyre Nichols."" "
2 deputies at scene of Tyre Nichols's beating suspended without pay,Floyd Bonner,"I have launched an internal investigation into the conduct of these deputies to determine what occurred and if any policies were violated. Both of these deputies have been relieved of duty pending the outcome of this administrative investigation."" "
2 deputies at scene of Tyre Nichols's beating suspended without pay,Floyd Bonner,"Our investigation was thorough and complete. I am satisfied that the discipline given to these deputies is appropriate and just. We must continue to maintain the highest standards of excellence for the citizens of Shelby County through service, integrity, and accountability."
Shelby County sheriff's deputy relieved of duty after November 2022 use-of-force incident,Floyd Bonner,Two deputies were relieved of their duty 10 days ago for being at the scene of Tyre Nichols' beating.
City Councilman Frank Colvett joins race for Memphis Mayor,Frank Colvett,"Memphis faces serious challenges, and we need a Mayor who is ready to face those challenges. Crime is too high, and we need leaders with actual solutions. We need more good cops on the street, but also, we need to work with groups like the Boys and Girls Club to intervene with our at-risk kids before they turn to crime. I will use my experience in both government service and the real world to confront the challenges that face us."
Sheriff's Office to use Nichols video in training; Commission makes other requests,Floyd Bonner,The Sheriff's Office will use the video in its annual training. 
Sheriff's Office to use Nichols video in training; Commission makes other requests,Commission Chairman Mickell Lowery,The requested measures can be used to hopefully ensure a similar event does not occur again.
Sheriff's Office to use Nichols video in training; Commission makes other requests,J.W. Gibson,The Shelby County sheriffs and other local law enforcement agencies consider pairing body camera use with analytics-assisted monitoring and coaching techniques to improve professionalism and performance.
Sheriff's Office to use Nichols video in training; Commission makes other requests,Van Turner,The requirement that law enforcement agencies provide annual de-escalation training.
Sheriff's Office to use Nichols video in training; Commission makes other requests,Erika Sugarmon,Encouraging Congress to adopt policies aimed at bringing change nationwide.
Shelby County Sheriff: 2 deputies under investigation in Tyre Nichols' fatal beating,Floyd Bonner,"Having watched the videotape for the first time tonight, I have concerns about two deputies who appeared on the scene following the physical confrontation between police and Tyre Nichols,"" Bonner said in a statement Friday night. ""I have launched an internal investigation into the conduct of these deputies to determine what occurred and if any policies were violated. Both of these deputies have been relieved of duty pending the outcome of this administrative investigation."
"Racism declared a 'pandemic' in Shelby County; commissioners commit to policy changes
Katherine Burgess ",Shelby County commissioners,"Racism is also a pandemic, and we would work to enact policies that eradicate the effects of systemic racism affecting Black people, and other minorities, throughout Shelby County."
"Racism declared a 'pandemic' in Shelby County; commissioners commit to policy changes
Katherine Burgess ",Shelby County Director of Health Alisa Haushalter,Racism is a pandemic in our country and it’s time that we declare racism as a pandemic. 
"Racism declared a 'pandemic' in Shelby County; commissioners commit to policy changes
Katherine Burgess ","Regional One Health, Baptist Memorial Healthcare and Methodist Le Bonheur Healthcare","condemned the slaying, issuing a statement on “insidious” racism. Health care institutions in particular have a significant role to play in addressing longstanding racial disparities and injustices in their communities."
"Racism declared a 'pandemic' in Shelby County; commissioners commit to policy changes
Katherine Burgess ",Sheriff Floyd Bonner,"his office has adopted several ""8 Can't Wait"" use-of-force reduction policies and is working to enforce the others."
"Racism declared a 'pandemic' in Shelby County; commissioners commit to policy changes
Katherine Burgess ",Commissioners,"requested that the Shelby County Sheriff's Office adopt the ""8 Can't Wait"" use-of-force reduction policies."
"Racism declared a 'pandemic' in Shelby County; commissioners commit to policy changes
Katherine Burgess ",Commissioners,"voted to give county employees June 19, Juneteenth, as a paid holiday starting in 2021."
"Memphis faith leaders send letter to city officials calling for changes in police culture
Evan Barnes ",Shelby County Sheriff Floyd Bonner,Addressing excessive force and enacting policies to reform law enforcement culture
"Memphis faith leaders send letter to city officials calling for changes in police culture
Evan Barnes ",Rev. Dr. J. Lawrence Turner,"Robust, rigorous dialogue between faith leaders and city leaders to come up with long-term solutions"
"Memphis faith leaders send letter to city officials calling for changes in police culture
Evan Barnes ",Rev. Dr. J. Lawrence Turner,Disturbed by police using excessive force against protesters
"Memphis faith leaders send letter to city officials calling for changes in police culture
Evan Barnes ",Rev. Dr. J. Lawrence Turner,Remove Confederate statues 
