date,meeting_title,action,motion
"Dec 12, 2018 (Wed)",Special Called Meeting,6.1 Motion to restrict transition of interim superintendent to permanent superintendent,"It is recommended that the Shelby County Board of Education adopts the motion to restrict the transition of interim superintendent to permanent superintendent.

Motion by Scott McCormick, second by Teresa Jones.
Final Resolution: Motion Fails
Affirmative: Shante Avant, Miska Clay Bibbs, Scott McCormick
Negative: Teresa Jones, Stephanie P Love, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 12, 2018 (Wed)",Special Called Meeting,6.2 Selection of the Interim Superintendent,"It is Recommended that the Shelby County Board of Education selects the Interim Superintendent of Shelby County Schools.

Vote occurred as follows:
McKissack-lin johnson
Orgel- lin johnson
Woods- joris ray
Love- joris ray
McCormick- joris ray
Jones- carol johnson
Bibbs-joris ray
Coleman- joris ray
Avant- Carol Johnson

Motion by Shante Avant, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 12, 2018 (Wed)",Special Called Meeting,6.3 Selection of Dr. Joris Ray as the Interim Superintendent,"It is Recommended that the Shelby County Board of Education selects Dr. Joris Ray as the Interim Superintendent of Shelby County Schools.

Motion by Shante Avant, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,5.1 Approval of Agenda,"It is recommended that the Shelby County Board of Education approves the agenda of the December 4, 2018, Business Meeting.

Motion by Shante Avant, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Joyce D Coleman, Michelle R McKissack
Not Present at Vote: Billy Orgel"
"Dec 4, 2018 (Tue)",December Board Business Meeting,"7.1 Approval of the Minutes of the October 30, 2018 Business Meeting","It is recommended that the Shelby County Board of Education approves the minutes of the October 30, 2018, Business Meeting.

Motion by Stephanie P Love, second by Teresa Jones.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,"7.2 Approval of the Minutes of the November 13, 2018 Special Called Meeting","It is recommended that the Shelby County Board of Education approves the minutes of the November 13, 2018, Special Called Meeting.

Motion by Stephanie P Love, second by Teresa Jones.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,"7.3 Approval of the Minutes of the November 27, 2018, Work Session","It is recommended that the Shelby County Board of Education approves the minutes of the November 27, 2018, Work Session.

Motion by Stephanie P Love, second by Teresa Jones.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.1 Approval of Consent Agenda,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.2 SCS Textbook Selection Committee,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.3 TTLA Aspiring Principal Grant Renewal,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.4 Grant: Innovative Approaches to Literacy (STEM in the Library),"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.5 Office of Justice Programs STOP Violence Prevention and Mental Health Training Grant,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.6 STOP School Violence Threat Assessment Program,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.7 TNReady End of Course Exams and Calculation of Student Grades,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.8 PC Computer Equipment and Related Services,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.9 2018-2019 SY MISCELLANEOUS COMMERCIAL FOOD ITEMS,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.10 2018-2019 SY MISCELLANEOUS SUPPLIES,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.11 Ash Enterprises (Craigmont HS Planetarium Renovation),"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.12 Contract Amendment: Central Nutritional Center Demolition,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,"12.13 A2H, Inc. (Engineering Services)","It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.14 HNA Engineering (Engineering Services),"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,"12.15 Siemens, Inc. HVAC Building Automation Control System","It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.16 Request to Piggyback on City of Memphis fuel contract,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.17 Cyber Technology Security,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.18 Purchase of additional vehicles for Safety & Security: Award to & C Chrysler/Dodge/Jeep/Ram and Wilson County Motors,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,"12.19 National Filter Solutions, Inc. - HVAC Filter Replacement Services","It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.20 System Integrations – Cameras and Licenses,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.21 Motorola 2 -Way Radios,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.22 Fiscal Year 2019-2020 Budget Priorities,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.23 1st Quarter FY 2018-19 Financial Statements,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.24 November 2018 Budget Amendment,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,12.25 CLASS Lobbying Fees - Millsaps Gowan Government Relations,"It is recommended that the Shelby County Board of Education approves the December 4, 2018 Consent Agenda.

Motion by Michelle R McKissack, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,13.2 Charter School Renewal: City University Boys' Prep,"It is recommended that the Shelby County BOard of Education not renew the Charter for City University Boys' Preparatory School.

Motion by Scott McCormick, second by Billy Orgel.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Teresa Jones, Scott McCormick, Billy Orgel, Kevin Woods, Michelle R McKissack
Negative: Miska Clay Bibbs, Stephanie P Love, Joyce D Coleman"
"Dec 4, 2018 (Tue)",December Board Business Meeting,13.3 Educational Resources Strategies Professional Services Contract Increase,"It is recommended that the Shelby County Board of Education approve the proposed $150,000 contract increase for a change in scope of Student Based Budgeting (SBB), Strategic School Design (SSD) and Planning Support Services.

Motion by Stephanie P Love, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,13.5 Innovative Engineering Services (Engineering Services),"It is recommended that the Shelby County Board of Education approve the contract for Innovative Engineering Services in the amount of $205,667.00 which include a not to exceed reimbursable expense of $1,500.00 for the design and construction documents to replace the HVAC infrastructure at the following schools:
Name of School Engineering Fee Breakdown
- Highland Oaks Elementary School $120,472.00
- Shrine/Sheffield Elementary School $71,095.00
- Hickory Ridge Elementary School $12,600.00
- Reimbursable Expense $1,500.00

Motion by Shante Avant, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,13.6 Allen & Hoshall (Engineering Services),"It is recommended that the Shelby County Board of Education approves the contract for Allen & Hoshall in the amount of $204,154.00 which includes a not to exceed reimbursable expense of $1,500.00 for the design and construction documents to replace the HVAC infrastructure at the following schools:
Name of School Engineering Fee Breakdown
- Whitehaven High School $107,439.00
- E.E. Jeter K-8 $65,803.00
- Holmes Road Elementary School $29,412.00
- Reimbursable Expense $1,500.00

Motion by Scott McCormick, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,13.7 Thompson Engineering (Engineering Services),"It is recommended that the Shelby County Board of Education approve the contract for Thompson Engineering in the amount of $134,799.00 which includes a not to exceed reimbursable expense of $500.00 for the design and construction documents to replace the HVAC infrastructure at the following schools:
Name of School Engineering Fee Breakdown
- Dexter Elementary School $134,299.00
- Reimbursable Expense $500.00

Motion by Scott McCormick, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,"13.8 State Systems – Fire Alarm Systems Inspection, Monitor, Test and Service","It is recommended that the Shelby County Board of Education approves renewal of the State Systems, Inc. Fire Alarm System Inspection, Monitoring, Testing and Service contract for the remaining renewal option years of the agreement and to include system restoration service requirements to support occupancy of the former CNC property, for a not to exceed amount of $803,000.00.

Motion by Scott McCormick, second by Michelle R McKissack.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,"13.9 Nichols – Fire Alarm Systems Inspection, Monitor, Test and Service","It is recommended that the Shelby County Board of Education approves renewal of the Nichols Fire and Security, Inc. Fire Alarm System Inspection, Monitoring, Testing and Service contract for the remaining renewal option years of the agreement, for a not to exceed amount of $966,000.00.

Motion by Scott McCormick, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,13.10 Raptor System,"It is recommended that the Shelby County Board of Education approve the award to ride the GSA
Contract for Raptor Technologies for the purchase of the Physical Access Control System (PAC), Annual License Renewal, PowerSchool Integration and additional equipment in the amount not to exceed $200,000.00

Motion by Shante Avant, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,13.12 Resolution Approving SCS Board Member Strategic School Funds Allocation – November/December 2018,"It is recommended that the Shelby County Board of Education approves the Resolution Approving SCS Board Member Strategic School Funds Allocation – November/December 2018.

Motion by Stephanie P Love, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
